[5/5/2022 8:57:59 PM | 989 ms] : ( d1_12.95129_False_0 )
[5/5/2022 8:58:00 PM | 100 ms] : ( d2_31.75819_False_0 )
[5/5/2022 8:58:00 PM | 113 ms] : ( d3_16.43463_False_0 )
[5/5/2022 8:58:00 PM | 129 ms] : ( d4_51.45731_False_0 )
[5/5/2022 8:58:00 PM | 145 ms] : ( d5_100.9072_False_0 )
[5/5/2022 8:58:00 PM | 161 ms] : ( d6_1420.458_False_0 )
[5/5/2022 8:58:00 PM | 271 ms] : ( d1_10.9231_False_0 )
[5/5/2022 8:58:00 PM | 287 ms] : ( d2_27.1612_False_0 )
[5/5/2022 8:58:00 PM | 303 ms] : ( d3_17.51443_False_0 )
[5/5/2022 8:58:00 PM | 319 ms] : ( d4_48.39265_False_0 )
[5/5/2022 8:58:00 PM | 335 ms] : ( d5_239.614_False_0 )
[5/5/2022 8:58:00 PM | 351 ms] : ( d6_1028.437_False_0 )
[5/5/2022 8:58:00 PM | 463 ms] : ( d1_11.08012_False_0 )
[5/5/2022 8:58:00 PM | 479 ms] : ( d2_27.94628_False_0 )
[5/5/2022 8:58:00 PM | 495 ms] : ( d3_17.77612_False_0 )
[5/5/2022 8:58:00 PM | 511 ms] : ( d4_54.14029_False_0 )
[5/5/2022 8:58:00 PM | 527 ms] : ( d5_250.0817_False_0 )
[5/5/2022 8:58:00 PM | 543 ms] : ( d6_1054.607_False_0 )
[5/5/2022 8:58:00 PM | 656 ms] : ( d1_10.16072_False_0 )
[5/5/2022 8:58:00 PM | 672 ms] : ( d2_31.18567_False_0 )
[5/5/2022 8:58:00 PM | 688 ms] : ( d3_16.24379_False_0 )
[5/5/2022 8:58:00 PM | 704 ms] : ( d4_51.07563_False_0 )
[5/5/2022 8:58:00 PM | 720 ms] : ( d5_293.2735_False_0 )
[5/5/2022 8:58:00 PM | 736 ms] : ( d6_1401.374_False_0 )
[5/5/2022 8:58:00 PM | 848 ms] : ( d1_10.8086_False_0 )
[5/5/2022 8:58:00 PM | 864 ms] : ( d2_26.58867_False_0 )
[5/5/2022 8:58:00 PM | 880 ms] : ( d3_17.32358_False_0 )
[5/5/2022 8:58:00 PM | 977 ms] : ( d4_50.72696_False_0 )
[5/5/2022 8:58:31 PM | 768 ms] : ( d1_12.11529_False_0 )
[5/5/2022 8:58:31 PM | 883 ms] : ( d2_34.74185_False_0 )
[5/5/2022 8:58:31 PM | 898 ms] : ( d3_15.04131_False_0 )
[5/5/2022 8:58:31 PM | 914 ms] : ( d4_53.44641_False_0 )
[5/5/2022 8:58:31 PM | 930 ms] : ( d5_140.6893_False_0 )
[5/5/2022 8:58:31 PM | 946 ms] : ( d6_1019.913_False_0 )
[5/5/2022 8:58:32 PM |  57 ms] : ( d1_11.02897_False_0 )
[5/5/2022 8:58:32 PM |  73 ms] : ( d2_35.52693_False_0 )
[5/5/2022 8:58:32 PM |  89 ms] : ( d3_15.303_False_0 )
[5/5/2022 8:58:32 PM | 105 ms] : ( d4_53.9698_False_0 )
[5/5/2022 8:58:32 PM | 121 ms] : ( d5_151.157_False_0 )
