[5/6/2022 7:48:20 PM | 749 ms] : ( d1_11.41468_False_0 )
[5/6/2022 7:48:20 PM | 775 ms] : ( d2_35.00119_False_0 )
[5/6/2022 7:48:20 PM | 790 ms] : ( d3_15.12775_False_0 )
[5/6/2022 7:48:20 PM | 806 ms] : ( d4_53.6193_False_0 )
[5/6/2022 7:48:20 PM | 821 ms] : ( d5_144.1471_False_0 )
[5/6/2022 7:48:20 PM | 837 ms] : ( d6_1289.77_False_0 )
[5/6/2022 7:48:20 PM | 946 ms] : ( d1_11.5717_False_0 )
[5/6/2022 7:48:20 PM | 961 ms] : ( d2_38.24057_False_0 )
[5/6/2022 7:48:20 PM | 977 ms] : ( d3_18.59542_False_10 )
[5/6/2022 7:48:20 PM | 993 ms] : ( d4_45.7789_False_20 )
[5/6/2022 7:48:21 PM |   9 ms] : ( d5_187.3389_False_30 )
[5/6/2022 7:48:21 PM |  25 ms] : ( d6_1136.537_False_40 )
[5/6/2022 7:48:21 PM | 133 ms] : ( d1_12.21958_False_50 )
[5/6/2022 7:48:21 PM | 149 ms] : ( d2_33.64358_False_60 )
[5/6/2022 7:48:21 PM | 165 ms] : ( d3_19.67522_False_70 )
[5/6/2022 7:48:21 PM | 180 ms] : ( d4_52.71423_False_80 )
[5/6/2022 7:48:21 PM | 195 ms] : ( d5_126.0457_False_90 )
[5/6/2022 7:48:21 PM | 211 ms] : ( d6_1244.517_False_100 )
[5/6/2022 7:48:21 PM | 320 ms] : ( d1_11.30018_False_110 )
[5/6/2022 7:48:21 PM | 335 ms] : ( d2_36.88297_False_120 )
[5/6/2022 7:48:21 PM | 351 ms] : ( d3_18.14289_False_130 )
[5/6/2022 7:48:21 PM | 367 ms] : ( d4_54.87383_False_140 )
[5/6/2022 7:48:21 PM | 383 ms] : ( d5_169.2375_False_150 )
[5/6/2022 7:48:21 PM | 399 ms] : ( d6_1091.284_False_160 )
[5/6/2022 7:48:21 PM | 511 ms] : ( d1_11.94806_False_170 )
[5/6/2022 7:48:21 PM | 527 ms] : ( d2_32.28597_False_180 )
[5/6/2022 7:48:21 PM | 542 ms] : ( d3_19.22268_False_190 )
[5/6/2022 7:48:21 PM | 558 ms] : ( d4_51.80916_False_200 )
[5/6/2022 7:48:21 PM | 574 ms] : ( d5_107.9442_False_210 )
[5/6/2022 7:48:21 PM | 590 ms] : ( d6_1199.263_False_220 )
[5/6/2022 7:48:21 PM | 786 ms] : ( d1_11.35259_False_230 )
[5/6/2022 7:48:21 PM | 798 ms] : ( d2_29.30867_False_240 )
[5/6/2022 7:48:21 PM | 983 ms] : ( d3_15.72199_False_250 )
[5/6/2022 7:48:21 PM | 989 ms] : ( d4_50.03204_False_260 )
[5/6/2022 7:48:22 PM |   5 ms] : ( d5_272.4018_False_270 )
[5/6/2022 7:48:22 PM |  20 ms] : ( d6_1349.194_False_280 )
[5/6/2022 7:48:22 PM | 132 ms] : ( d1_10.49552_False_290 )
[5/6/2022 7:48:22 PM | 148 ms] : ( d2_25.02329_False_300 )
[5/6/2022 7:48:22 PM | 164 ms] : ( d3_16.80179_False_0 )
[5/6/2022 7:48:22 PM | 179 ms] : ( d4_46.96738_False_0 )
[5/6/2022 7:48:22 PM | 195 ms] : ( d5_211.1085_False_0 )
[5/6/2022 7:48:22 PM | 211 ms] : ( d6_1457.174_False_0 )
[5/6/2022 7:48:22 PM | 322 ms] : ( d1_12.57612_False_0 )
[5/6/2022 7:48:22 PM | 338 ms] : ( d2_28.26268_False_0 )
[5/6/2022 7:48:22 PM | 353 ms] : ( d3_15.26946_False_0 )
[5/6/2022 7:48:22 PM | 370 ms] : ( d4_49.12696_False_0 )
[5/6/2022 7:48:22 PM | 383 ms] : ( d5_254.3003_False_0 )
[5/6/2022 7:48:22 PM | 399 ms] : ( d6_1303.941_False_0 )
[5/6/2022 7:48:22 PM | 510 ms] : ( d1_10.224_False_0 )
[5/6/2022 7:48:22 PM | 526 ms] : ( d2_38.66568_False_0 )
[5/6/2022 7:48:22 PM | 542 ms] : ( d3_16.34925_False_0 )
[5/6/2022 7:48:22 PM | 557 ms] : ( d4_46.0623_False_0 )
[5/6/2022 7:48:22 PM | 573 ms] : ( d5_193.0071_False_0 )
[5/6/2022 7:48:22 PM | 589 ms] : ( d6_1411.92_False_0 )
[5/6/2022 7:48:22 PM | 699 ms] : ( d1_12.3046_False_0 )
[5/6/2022 7:48:22 PM | 714 ms] : ( d2_26.90507_False_0 )
[5/6/2022 7:48:22 PM | 731 ms] : ( d3_19.81692_False_0 )
[5/6/2022 7:48:22 PM | 746 ms] : ( d4_48.22189_False_0 )
[5/6/2022 7:48:22 PM | 762 ms] : ( d5_236.1989_False_0 )
[5/6/2022 7:48:22 PM | 778 ms] : ( d6_1258.687_False_0 )
[5/6/2022 7:48:22 PM | 889 ms] : ( d1_12.95248_False_0 )
[5/6/2022 7:48:22 PM | 904 ms] : ( d2_37.30807_False_0 )
[5/6/2022 7:48:22 PM | 920 ms] : ( d3_15.89672_False_0 )
[5/6/2022 7:48:22 PM | 936 ms] : ( d4_45.15723_False_0 )
[5/6/2022 7:48:22 PM | 951 ms] : ( d5_174.9056_False_0 )
[5/6/2022 7:48:22 PM | 967 ms] : ( d6_1366.667_False_0 )
[5/6/2022 7:48:23 PM |  78 ms] : ( d1_10.10949_False_0 )
[5/6/2022 7:48:23 PM |  93 ms] : ( d2_38.09316_False_0 )
[5/6/2022 7:48:23 PM | 108 ms] : ( d3_16.15841_False_0 )
[5/6/2022 7:48:23 PM | 124 ms] : ( d4_50.90487_False_0 )
[5/6/2022 7:48:23 PM | 140 ms] : ( d5_185.3734_False_0 )
[5/6/2022 7:48:23 PM | 156 ms] : ( d6_1392.836_False_0 )
[5/6/2022 7:48:23 PM | 266 ms] : ( d1_12.19009_False_0 )
[5/6/2022 7:48:23 PM | 282 ms] : ( d2_26.33254_False_0 )
[5/6/2022 7:48:23 PM | 297 ms] : ( d3_19.62608_False_0 )
[5/6/2022 7:48:23 PM | 313 ms] : ( d4_47.84021_False_0 )
[5/6/2022 7:48:23 PM | 329 ms] : ( d5_228.5652_False_0 )
[5/6/2022 7:48:23 PM | 345 ms] : ( d6_1239.603_False_0 )
[5/6/2022 7:48:23 PM | 455 ms] : ( d1_12.83797_False_0 )
[5/6/2022 7:48:23 PM | 471 ms] : ( d2_36.73555_False_0 )
[5/6/2022 7:48:23 PM | 486 ms] : ( d3_15.70588_False_0 )
[5/6/2022 7:48:23 PM | 502 ms] : ( d4_49.9998_False_0 )
[5/6/2022 7:48:23 PM | 517 ms] : ( d5_167.2719_False_0 )
[5/6/2022 7:48:23 PM | 533 ms] : ( d6_1347.582_False_0 )
[5/6/2022 7:48:23 PM | 641 ms] : ( d1_11.91857_False_0 )
[5/6/2022 7:48:23 PM | 657 ms] : ( d2_39.97494_False_0 )
[5/6/2022 7:48:23 PM | 673 ms] : ( d3_19.17354_False_0 )
[5/6/2022 7:48:23 PM | 689 ms] : ( d4_46.93514_False_0 )
[5/6/2022 7:48:23 PM | 704 ms] : ( d5_210.4638_False_0 )
[5/6/2022 7:48:23 PM | 720 ms] : ( d6_1194.349_False_0 )
[5/6/2022 7:48:23 PM | 831 ms] : ( d1_12.56645_False_0 )
[5/6/2022 7:48:23 PM | 847 ms] : ( d2_35.37794_False_0 )
[5/6/2022 7:48:23 PM | 863 ms] : ( d3_15.25334_False_0 )
[5/6/2022 7:48:23 PM | 879 ms] : ( d4_49.09473_False_0 )
[5/6/2022 7:48:23 PM | 895 ms] : ( d5_149.1705_False_0 )
[5/6/2022 7:48:23 PM | 911 ms] : ( d6_1302.329_False_0 )
[5/6/2022 7:48:24 PM |  20 ms] : ( d1_11.64705_False_0 )
[5/6/2022 7:48:24 PM |  35 ms] : ( d2_38.61733_False_0 )
[5/6/2022 7:48:24 PM |  51 ms] : ( d3_18.72101_False_0 )
[5/6/2022 7:48:24 PM |  66 ms] : ( d4_46.03007_False_0 )
[5/6/2022 7:48:24 PM |  82 ms] : ( d5_192.3623_False_0 )
[5/6/2022 7:48:24 PM |  98 ms] : ( d6_1149.096_False_0 )
[5/6/2022 7:48:24 PM | 209 ms] : ( d1_12.29493_False_0 )
[5/6/2022 7:48:24 PM | 224 ms] : ( d2_34.02033_False_0 )
[5/6/2022 7:48:24 PM | 239 ms] : ( d3_19.8008_False_0 )
[5/6/2022 7:48:24 PM | 254 ms] : ( d4_48.18966_False_0 )
[5/6/2022 7:48:24 PM | 269 ms] : ( d5_131.0691_False_0 )
[5/6/2022 7:48:24 PM | 284 ms] : ( d6_1257.075_False_0 )
[5/6/2022 7:48:24 PM | 394 ms] : ( d1_11.37553_False_0 )
[5/6/2022 7:48:24 PM | 410 ms] : ( d2_37.25972_False_0 )
[5/6/2022 7:48:24 PM | 425 ms] : ( d3_18.26847_False_0 )
[5/6/2022 7:48:24 PM | 441 ms] : ( d4_45.125_False_0 )
[5/6/2022 7:48:24 PM | 457 ms] : ( d5_174.2609_False_0 )
[5/6/2022 7:48:24 PM | 472 ms] : ( d6_1103.842_False_0 )
[5/6/2022 7:48:24 PM | 583 ms] : ( d1_12.02341_False_0 )
[5/6/2022 7:48:24 PM | 598 ms] : ( d2_32.66273_False_0 )
[5/6/2022 7:48:24 PM | 614 ms] : ( d3_19.34827_False_0 )
[5/6/2022 7:48:24 PM | 630 ms] : ( d4_47.28458_False_0 )
[5/6/2022 7:48:24 PM | 646 ms] : ( d5_112.9676_False_0 )
[5/6/2022 7:48:24 PM | 662 ms] : ( d6_1211.822_False_0 )
[5/6/2022 7:48:24 PM | 771 ms] : ( d1_11.10401_False_0 )
[5/6/2022 7:48:24 PM | 787 ms] : ( d2_35.90211_False_0 )
[5/6/2022 7:48:24 PM | 803 ms] : ( d3_17.81594_False_0 )
[5/6/2022 7:48:24 PM | 818 ms] : ( d4_54.21992_False_0 )
[5/6/2022 7:48:24 PM | 834 ms] : ( d5_156.1595_False_0 )
[5/6/2022 7:48:24 PM | 849 ms] : ( d6_1058.589_False_0 )
[5/6/2022 7:48:24 PM | 961 ms] : ( d1_11.75188_False_0 )
[5/6/2022 7:48:24 PM | 977 ms] : ( d2_31.30512_False_0 )
[5/6/2022 7:48:24 PM | 993 ms] : ( d3_18.89573_False_0 )
[5/6/2022 7:48:25 PM |   8 ms] : ( d4_46.37951_False_0 )
[5/6/2022 7:48:25 PM |  24 ms] : ( d5_294.8662_False_0 )
[5/6/2022 7:48:25 PM |  39 ms] : ( d6_1166.568_False_0 )
[5/6/2022 7:48:25 PM | 148 ms] : ( d1_10.83249_False_0 )
[5/6/2022 7:48:25 PM | 164 ms] : ( d2_34.54451_False_0 )
[5/6/2022 7:48:25 PM | 180 ms] : ( d3_17.3634_False_0 )
[5/6/2022 7:48:25 PM | 196 ms] : ( d4_53.31485_False_0 )
[5/6/2022 7:48:25 PM | 212 ms] : ( d5_138.058_False_0 )
[5/6/2022 7:48:25 PM | 228 ms] : ( d6_1013.335_False_0 )
[5/6/2022 7:48:25 PM | 337 ms] : ( d1_11.48036_False_0 )
[5/6/2022 7:48:25 PM | 353 ms] : ( d2_29.94751_False_0 )
[5/6/2022 7:48:25 PM | 369 ms] : ( d3_18.4432_False_0 )
[5/6/2022 7:48:25 PM | 385 ms] : ( d4_45.47444_False_0 )
[5/6/2022 7:48:25 PM | 401 ms] : ( d5_276.7648_False_0 )
[5/6/2022 7:48:25 PM | 416 ms] : ( d6_1121.314_False_0 )
[5/6/2022 7:48:25 PM | 525 ms] : ( d1_10.56096_False_0 )
[5/6/2022 7:48:25 PM | 540 ms] : ( d2_33.1869_False_0 )
[5/6/2022 7:48:25 PM | 556 ms] : ( d3_16.91086_False_0 )
[5/6/2022 7:48:25 PM | 572 ms] : ( d4_52.40978_False_0 )
[5/6/2022 7:48:25 PM | 588 ms] : ( d5_119.9566_False_0 )
[5/6/2022 7:48:25 PM | 604 ms] : ( d6_1468.081_False_0 )
[5/6/2022 7:48:25 PM | 722 ms] : ( d1_10.71798_False_0 )
[5/6/2022 7:48:25 PM | 744 ms] : ( d2_33.97198_False_0 )
[5/6/2022 7:48:25 PM | 759 ms] : ( d3_19.78469_False_0 )
[5/6/2022 7:48:25 PM | 775 ms] : ( d4_52.93317_False_0 )
[5/6/2022 7:48:25 PM | 791 ms] : ( d5_130.4243_False_0 )
[5/6/2022 7:48:25 PM | 807 ms] : ( d6_1494.251_False_0 )
[5/6/2022 7:48:25 PM | 916 ms] : ( d1_11.36586_False_0 )
[5/6/2022 7:48:25 PM | 932 ms] : ( d2_29.37498_False_0 )
[5/6/2022 7:48:25 PM | 948 ms] : ( d3_18.25235_False_0 )
[5/6/2022 7:48:25 PM | 963 ms] : ( d4_45.09276_False_0 )
