[5/12/2022 10:38:44 AM | 153 ms] : ( d1_11.06789_False_350 )
[5/12/2022 10:38:44 AM | 168 ms] : ( d2_35.72152_False_350 )
[5/12/2022 10:38:44 AM | 184 ms] : ( d3_17.75574_False_350 )
[5/12/2022 10:38:44 AM | 200 ms] : ( d4_54.09953_False_350 )
[5/12/2022 10:38:44 AM | 215 ms] : ( d5_153.7516_False_350 )
[5/12/2022 10:38:44 AM | 231 ms] : ( d6_1052.569_False_350 )
[5/12/2022 10:38:44 AM | 339 ms] : ( d1_11.71577_False_350 )
[5/12/2022 10:38:44 AM | 354 ms] : ( d2_31.12453_False_350 )
[5/12/2022 10:38:44 AM | 369 ms] : ( d3_18.83554_False_350 )
[5/12/2022 10:38:44 AM | 385 ms] : ( d4_46.25912_False_350 )
[5/12/2022 10:38:44 AM | 401 ms] : ( d5_292.4583_False_350 )
[5/12/2022 10:38:44 AM | 776 ms] : ( d5_274.3569_False_350 )
[5/12/2022 2:49:12 PM |  33 ms] : ( d1_10.70485_False_340 )
[5/12/2022 2:49:12 PM |  49 ms] : ( d2_33.9063_False_340 )
[5/12/2022 2:49:12 PM |  64 ms] : ( d3_17.15067_False_340 )
[5/12/2022 2:49:12 PM |  80 ms] : ( d4_52.88938_False_340 )
[5/12/2022 2:49:12 PM | 412 ms] : ( d1_10.43332_False_340 )
[5/12/2022 2:49:12 PM | 427 ms] : ( d2_32.54869_False_340 )
[5/12/2022 2:49:12 PM | 443 ms] : ( d3_16.69813_False_340 )
[5/12/2022 2:49:14 PM | 881 ms] : ( d1_10.03763_False_340 )
[5/12/2022 2:49:14 PM | 897 ms] : ( d2_37.73383_False_340 )
[5/12/2022 2:49:14 PM | 913 ms] : ( d3_16.03863_False_340 )
[5/12/2022 2:49:14 PM | 929 ms] : ( d4_50.66532_False_340 )
