[5/12/2022 10:38:44 AM | 416 ms] : ( d6_1160.548_False_350 )
[5/12/2022 10:38:44 AM | 527 ms] : ( d1_10.79637_False_350 )
[5/12/2022 10:38:44 AM | 543 ms] : ( d2_34.36391_False_350 )
[5/12/2022 10:38:44 AM | 558 ms] : ( d3_17.3032_False_350 )
[5/12/2022 10:38:44 AM | 574 ms] : ( d4_53.19446_False_350 )
[5/12/2022 10:38:44 AM | 589 ms] : ( d5_135.6501_False_350 )
[5/12/2022 10:38:44 AM | 605 ms] : ( d6_1007.315_False_350 )
[5/12/2022 10:38:44 AM | 715 ms] : ( d1_11.44425_False_350 )
[5/12/2022 10:38:44 AM | 730 ms] : ( d2_29.76692_False_350 )
[5/12/2022 10:38:44 AM | 745 ms] : ( d3_18.383_False_350 )
[5/12/2022 10:38:44 AM | 761 ms] : ( d4_45.35405_False_350 )
[5/12/2022 2:49:11 PM | 653 ms] : ( d1_10.97637_False_340 )
[5/12/2022 2:49:11 PM | 669 ms] : ( d2_35.26391_False_340 )
[5/12/2022 2:49:11 PM | 685 ms] : ( d3_17.6032_False_340 )
[5/12/2022 2:49:11 PM | 701 ms] : ( d4_53.79446_False_340 )
[5/12/2022 2:49:11 PM | 717 ms] : ( d5_243.165_False_340 )
[5/12/2022 2:49:11 PM | 732 ms] : ( d6_1037.315_False_340 )
[5/12/2022 2:49:11 PM | 843 ms] : ( d1_10.05697_False_340 )
[5/12/2022 2:49:11 PM | 859 ms] : ( d2_30.66692_False_340 )
[5/12/2022 2:49:11 PM | 874 ms] : ( d3_18.683_False_340 )
[5/12/2022 2:49:11 PM | 890 ms] : ( d4_50.72979_False_340 )
[5/12/2022 2:49:11 PM | 906 ms] : ( d5_286.3568_False_340 )
[5/12/2022 2:49:11 PM | 922 ms] : ( d6_1145.295_False_340 )
[5/12/2022 2:49:12 PM | 458 ms] : ( d4_51.98431_False_340 )
[5/12/2022 2:49:12 PM | 474 ms] : ( d5_206.9622_False_340 )
[5/12/2022 2:49:12 PM | 490 ms] : ( d6_1446.808_False_340 )
[5/12/2022 2:49:12 PM | 600 ms] : ( d1_12.51393_False_340 )
[5/12/2022 2:49:12 PM | 616 ms] : ( d2_27.9517_False_340 )
[5/12/2022 2:49:12 PM | 632 ms] : ( d3_17.77793_False_340 )
[5/12/2022 2:49:12 PM | 648 ms] : ( d4_48.91965_False_340 )
[5/12/2022 2:49:12 PM | 664 ms] : ( d5_250.154_False_340 )
[5/12/2022 2:49:12 PM | 681 ms] : ( d6_1054.787_False_340 )
