[5/7/2022 10:48:08 AM | 941 ms] : ( d1_11.99504_False_0 )
[5/7/2022 10:48:08 AM | 981 ms] : ( d2_37.90297_False_0 )
[5/7/2022 10:48:08 AM | 995 ms] : ( d3_16.09501_False_0 )
[5/7/2022 10:48:09 AM |  10 ms] : ( d4_50.77808_False_0 )
[5/7/2022 10:48:09 AM |  25 ms] : ( d5_182.8375_False_0 )
[5/7/2022 10:48:09 AM |  41 ms] : ( d6_1386.496_False_0 )
[5/7/2022 10:48:09 AM | 150 ms] : ( d1_12.15205_False_0 )
[5/7/2022 10:48:09 AM | 166 ms] : ( d2_26.14235_False_0 )
[5/7/2022 10:48:09 AM | 182 ms] : ( d3_19.56268_False_0 )
[5/7/2022 10:48:09 AM | 198 ms] : ( d4_47.71341_False_0 )
[5/7/2022 10:48:09 AM | 213 ms] : ( d5_226.0293_False_0 )
[5/7/2022 10:48:09 AM | 228 ms] : ( d6_1233.263_False_0 )
[5/7/2022 10:48:09 AM | 337 ms] : ( d1_12.79993_False_0 )
[5/7/2022 10:48:09 AM | 352 ms] : ( d2_36.54536_False_0 )
[5/7/2022 10:48:09 AM | 368 ms] : ( d3_15.64248_False_0 )
[5/7/2022 10:48:09 AM | 383 ms] : ( d4_49.873_False_0 )
[5/7/2022 10:48:09 AM | 399 ms] : ( d5_164.7361_False_0 )
[5/7/2022 10:48:09 AM | 415 ms] : ( d6_1341.243_False_0 )
[5/7/2022 10:48:09 AM | 523 ms] : ( d1_11.88053_False_0 )
[5/7/2022 10:48:09 AM | 539 ms] : ( d2_39.78474_False_0 )
[5/7/2022 10:48:09 AM | 555 ms] : ( d3_19.11015_False_0 )
[5/7/2022 10:48:09 AM | 570 ms] : ( d4_46.80834_False_0 )
[5/7/2022 10:48:09 AM | 585 ms] : ( d5_207.9279_False_0 )
[5/7/2022 10:48:09 AM | 601 ms] : ( d6_1188.01_False_0 )
[5/7/2022 10:48:09 AM | 712 ms] : ( d1_12.52841_False_0 )
[5/7/2022 10:48:09 AM | 728 ms] : ( d2_35.18775_False_0 )
[5/7/2022 10:48:09 AM | 744 ms] : ( d3_15.18994_False_0 )
[5/7/2022 10:48:09 AM | 760 ms] : ( d4_48.96793_False_0 )
[5/7/2022 10:48:09 AM | 775 ms] : ( d5_146.6346_False_0 )
[5/7/2022 10:48:09 AM | 791 ms] : ( d6_1295.989_False_0 )
[5/7/2022 10:48:09 AM | 901 ms] : ( d1_11.60901_False_0 )
[5/7/2022 10:48:09 AM | 916 ms] : ( d2_38.42714_False_0 )
[5/7/2022 10:48:09 AM | 931 ms] : ( d3_18.65761_False_0 )
[5/7/2022 10:48:09 AM | 947 ms] : ( d4_45.90327_False_0 )
[5/7/2022 10:48:09 AM | 963 ms] : ( d5_189.8264_False_0 )
[5/7/2022 10:48:09 AM | 979 ms] : ( d6_1142.756_False_0 )
[5/7/2022 10:48:10 AM |  89 ms] : ( d1_12.25689_False_0 )
[5/7/2022 10:48:10 AM | 105 ms] : ( d2_33.83014_False_0 )
[5/7/2022 10:48:10 AM | 120 ms] : ( d3_19.73741_False_0 )
[5/7/2022 10:48:10 AM | 135 ms] : ( d4_48.06286_False_0 )
[5/7/2022 10:48:10 AM | 151 ms] : ( d5_128.5332_False_0 )
[5/7/2022 10:48:10 AM | 167 ms] : ( d6_1250.735_False_0 )
[5/7/2022 10:48:10 AM | 276 ms] : ( d1_11.33749_False_0 )
[5/7/2022 10:48:10 AM | 291 ms] : ( d2_37.06953_False_0 )
[5/7/2022 10:48:10 AM | 307 ms] : ( d3_18.20507_False_0 )
[5/7/2022 10:48:10 AM | 323 ms] : ( d4_54.9982_False_0 )
[5/7/2022 10:48:10 AM | 338 ms] : ( d5_171.725_False_0 )
[5/7/2022 10:48:10 AM | 354 ms] : ( d6_1097.502_False_0 )
[5/7/2022 10:48:10 AM | 463 ms] : ( d1_11.98537_False_0 )
[5/7/2022 10:48:10 AM | 478 ms] : ( d2_32.47253_False_0 )
