[4/11/2022 9:25:15 PM | 643 ms] : ( d1_11.98888_False_0 )
[4/11/2022 9:25:15 PM | 679 ms] : ( d2_37.87218_False_0 )
[4/11/2022 9:25:15 PM | 688 ms] : ( d3_16.08475_False_0 )
[4/11/2022 9:25:15 PM | 703 ms] : ( d4_50.75755_False_0 )
[4/11/2022 9:25:15 PM | 719 ms] : ( d5_182.427_False_0 )
[4/11/2022 9:25:15 PM | 735 ms] : ( d6_1385.47_False_0 )
[4/11/2022 9:25:15 PM | 844 ms] : ( d1_12.1459_False_0 )
[4/11/2022 9:25:15 PM | 860 ms] : ( d2_26.11157_False_0 )
[4/11/2022 9:25:15 PM | 876 ms] : ( d3_17.16455_False_0 )
[4/11/2022 9:25:15 PM | 892 ms] : ( d4_47.69289_False_0 )
[4/11/2022 9:25:15 PM | 908 ms] : ( d5_225.6188_False_0 )
[4/11/2022 9:25:15 PM | 924 ms] : ( d6_1232.237_False_0 )
[4/11/2022 9:25:16 PM |  35 ms] : ( d1_12.79378_False_0 )
[4/11/2022 9:25:16 PM |  51 ms] : ( d2_36.51457_False_0 )
[4/11/2022 9:25:16 PM |  66 ms] : ( d3_15.63222_False_0 )
[4/11/2022 9:25:16 PM |  82 ms] : ( d4_49.85248_False_0 )
[4/11/2022 9:25:16 PM |  98 ms] : ( d5_164.3256_False_0 )
[4/11/2022 9:25:16 PM | 114 ms] : ( d6_1340.216_False_0 )
[4/11/2022 9:25:16 PM | 226 ms] : ( d1_11.87438_False_0 )
[4/11/2022 9:25:16 PM | 242 ms] : ( d2_39.75396_False_0 )
[4/11/2022 9:25:16 PM | 258 ms] : ( d3_16.71201_False_0 )
[4/11/2022 9:25:16 PM | 274 ms] : ( d4_46.78782_False_0 )
[4/11/2022 9:25:16 PM | 290 ms] : ( d5_207.5174_False_0 )
[4/11/2022 9:25:16 PM | 306 ms] : ( d6_1186.983_False_0 )
[4/11/2022 9:25:16 PM | 417 ms] : ( d1_12.52225_False_0 )
[4/11/2022 9:25:16 PM | 433 ms] : ( d2_35.15696_False_0 )
[4/11/2022 9:25:16 PM | 449 ms] : ( d3_15.17968_False_0 )
[4/11/2022 9:25:16 PM | 465 ms] : ( d4_48.94741_False_0 )
[4/11/2022 9:25:16 PM | 481 ms] : ( d5_146.2242_False_0 )
[4/11/2022 9:25:16 PM | 497 ms] : ( d6_1294.963_False_0 )
[4/11/2022 9:25:16 PM | 608 ms] : ( d1_12.67927_False_0 )
[4/11/2022 9:25:16 PM | 624 ms] : ( d2_28.77843_False_0 )
[4/11/2022 9:25:16 PM | 640 ms] : ( d3_15.44137_False_0 )
[4/11/2022 9:25:16 PM | 655 ms] : ( d4_49.4708_False_0 )
[4/11/2022 9:25:16 PM | 671 ms] : ( d5_156.6919_False_0 )
[4/11/2022 9:25:16 PM | 687 ms] : ( d6_1321.132_False_0 )
[4/11/2022 9:25:16 PM | 799 ms] : ( d1_11.75987_False_0 )
[4/11/2022 9:25:16 PM | 815 ms] : ( d2_39.18143_False_0 )
[4/11/2022 9:25:16 PM | 830 ms] : ( d3_16.52117_False_0 )
[4/11/2022 9:25:16 PM | 846 ms] : ( d4_46.40614_False_0 )
[4/11/2022 9:25:16 PM | 862 ms] : ( d5_199.8837_False_0 )
[4/11/2022 9:25:16 PM | 878 ms] : ( d6_1429.112_False_0 )
[4/11/2022 9:25:16 PM | 989 ms] : ( d1_12.40775_False_0 )
[4/11/2022 9:25:17 PM |   5 ms] : ( d2_27.42082_False_0 )
[4/11/2022 9:25:17 PM |  21 ms] : ( d3_19.98884_False_0 )
[4/11/2022 9:25:17 PM |  37 ms] : ( d4_48.56573_False_0 )
[4/11/2022 9:25:17 PM |  53 ms] : ( d5_138.5905_False_0 )
[4/11/2022 9:25:17 PM |  69 ms] : ( d6_1275.879_False_0 )
[4/11/2022 9:25:17 PM | 180 ms] : ( d1_11.48835_False_0 )
[4/11/2022 9:25:17 PM | 196 ms] : ( d2_37.82383_False_0 )
[4/11/2022 9:25:17 PM | 212 ms] : ( d3_16.06863_False_0 )
[4/11/2022 9:25:17 PM | 228 ms] : ( d4_45.50106_False_0 )
[4/11/2022 9:25:17 PM | 244 ms] : ( d5_181.7823_False_0 )
[4/11/2022 9:25:17 PM | 260 ms] : ( d6_1383.858_False_0 )
[4/11/2022 9:25:17 PM | 413 ms] : ( d1_10.7982_False_0 )
[4/11/2022 9:25:17 PM | 435 ms] : ( d2_26.53668_False_0 )
[4/11/2022 9:25:17 PM | 628 ms] : ( d3_18.38605_False_0 )
[4/11/2022 9:25:17 PM | 641 ms] : ( d4_50.13589_False_0 )
[4/11/2022 9:25:17 PM | 657 ms] : ( d5_274.4788_False_0 )
[4/11/2022 9:25:17 PM | 673 ms] : ( d6_1354.387_False_0 )
[4/11/2022 9:25:17 PM | 781 ms] : ( d1_10.52668_False_0 )
[4/11/2022 9:25:17 PM | 796 ms] : ( d2_25.17907_False_0 )
[4/11/2022 9:25:17 PM | 811 ms] : ( d3_16.85372_False_0 )
[4/11/2022 9:25:17 PM | 827 ms] : ( d4_52.29548_False_0 )
[4/11/2022 9:25:17 PM | 843 ms] : ( d5_213.1855_False_0 )
[4/11/2022 9:25:17 PM | 859 ms] : ( d6_1462.366_False_0 )
[4/11/2022 9:25:17 PM | 967 ms] : ( d1_12.60728_False_0 )
[4/11/2022 9:25:17 PM | 983 ms] : ( d2_28.41846_False_0 )
[4/11/2022 9:25:17 PM | 999 ms] : ( d3_17.93351_False_0 )
[4/11/2022 9:25:18 PM |  14 ms] : ( d4_49.23082_False_0 )
[4/11/2022 9:25:18 PM |  30 ms] : ( d5_256.3773_False_0 )
[4/11/2022 9:25:18 PM |  46 ms] : ( d6_1309.133_False_0 )
[4/11/2022 9:25:18 PM | 156 ms] : ( d1_10.25515_False_0 )
[4/11/2022 9:25:18 PM | 171 ms] : ( d2_38.82146_False_0 )
[4/11/2022 9:25:18 PM | 187 ms] : ( d3_16.40118_False_0 )
[4/11/2022 9:25:18 PM | 202 ms] : ( d4_51.39041_False_0 )
[4/11/2022 9:25:18 PM | 217 ms] : ( d5_195.0841_False_0 )
[4/11/2022 9:25:18 PM | 233 ms] : ( d6_1417.113_False_0 )
[4/11/2022 9:25:18 PM | 342 ms] : ( d1_12.33575_False_0 )
[4/11/2022 9:25:18 PM | 358 ms] : ( d2_27.06085_False_0 )
[4/11/2022 9:25:18 PM | 374 ms] : ( d3_17.48097_False_0 )
[4/11/2022 9:25:18 PM | 389 ms] : ( d4_48.32574_False_0 )
[4/11/2022 9:25:18 PM | 404 ms] : ( d5_238.2759_False_0 )
[4/11/2022 9:25:18 PM | 420 ms] : ( d6_1263.88_False_0 )
[4/11/2022 9:25:18 PM | 530 ms] : ( d1_12.98363_False_0 )
[4/11/2022 9:25:18 PM | 545 ms] : ( d2_37.46386_False_0 )
[4/11/2022 9:25:18 PM | 561 ms] : ( d3_15.94864_False_0 )
[4/11/2022 9:25:18 PM | 591 ms] : ( d4_50.48534_False_0 )
[4/11/2022 9:25:18 PM | 607 ms] : ( d5_176.9827_False_0 )
[4/11/2022 9:25:18 PM | 622 ms] : ( d6_1371.859_False_0 )
[4/11/2022 9:25:18 PM | 730 ms] : ( d1_12.06423_False_0 )
[4/11/2022 9:25:18 PM | 745 ms] : ( d2_25.70324_False_0 )
[4/11/2022 9:25:18 PM | 761 ms] : ( d3_17.02844_False_0 )
[4/11/2022 9:25:18 PM | 776 ms] : ( d4_47.42067_False_0 )
[4/11/2022 9:25:18 PM | 792 ms] : ( d5_220.1745_False_0 )
[4/11/2022 9:25:18 PM | 807 ms] : ( d6_1218.626_False_0 )
[4/11/2022 9:25:18 PM | 916 ms] : ( d1_12.71211_False_0 )
[4/11/2022 9:25:18 PM | 932 ms] : ( d2_36.10625_False_0 )
[4/11/2022 9:25:18 PM | 947 ms] : ( d3_15.49611_False_0 )
[4/11/2022 9:25:18 PM | 962 ms] : ( d4_49.58027_False_0 )
[4/11/2022 9:25:18 PM | 978 ms] : ( d5_158.8812_False_0 )
[4/11/2022 9:25:18 PM | 993 ms] : ( d6_1326.606_False_0 )
[4/11/2022 9:25:19 PM | 101 ms] : ( d1_11.79271_False_0 )
[4/11/2022 9:25:19 PM | 117 ms] : ( d2_39.34563_False_0 )
[4/11/2022 9:25:19 PM | 133 ms] : ( d3_16.5759_False_0 )
[4/11/2022 9:25:19 PM | 150 ms] : ( d4_46.5156_False_0 )
[4/11/2022 9:25:19 PM | 165 ms] : ( d5_202.0731_False_0 )
[4/11/2022 9:25:19 PM | 180 ms] : ( d6_1173.373_False_0 )
[4/11/2022 9:25:19 PM | 290 ms] : ( d1_12.44059_False_0 )
[4/11/2022 9:25:19 PM | 306 ms] : ( d2_34.74864_False_0 )
[4/11/2022 9:25:19 PM | 322 ms] : ( d3_15.04357_False_0 )
[4/11/2022 9:25:19 PM | 338 ms] : ( d4_48.67519_False_0 )
[4/11/2022 9:25:19 PM | 354 ms] : ( d5_140.7798_False_0 )
[4/11/2022 9:25:19 PM | 370 ms] : ( d6_1281.352_False_0 )
[4/11/2022 9:25:19 PM | 480 ms] : ( d1_11.52119_False_0 )
[4/11/2022 9:25:19 PM | 495 ms] : ( d2_37.98803_False_0 )
[4/11/2022 9:25:19 PM | 511 ms] : ( d3_16.12337_False_0 )
[4/11/2022 9:25:19 PM | 527 ms] : ( d4_45.61053_False_0 )
[4/11/2022 9:25:19 PM | 542 ms] : ( d5_183.9716_False_0 )
[4/11/2022 9:25:19 PM | 558 ms] : ( d6_1128.119_False_0 )
[4/11/2022 9:25:19 PM | 668 ms] : ( d1_12.16907_False_0 )
[4/11/2022 9:25:19 PM | 684 ms] : ( d2_33.39103_False_0 )
[4/11/2022 9:25:19 PM | 700 ms] : ( d3_19.59104_False_0 )
[4/11/2022 9:25:19 PM | 715 ms] : ( d4_47.77012_False_0 )
[4/11/2022 9:25:19 PM | 731 ms] : ( d5_122.6784_False_0 )
[4/11/2022 9:25:19 PM | 747 ms] : ( d6_1236.099_False_0 )
[4/11/2022 9:25:19 PM | 856 ms] : ( d1_11.24967_False_0 )
[4/11/2022 9:25:19 PM | 871 ms] : ( d2_36.63042_False_0 )
[4/11/2022 9:25:19 PM | 886 ms] : ( d3_15.67083_False_0 )
[4/11/2022 9:25:19 PM | 902 ms] : ( d4_54.70546_False_0 )
[4/11/2022 9:25:19 PM | 917 ms] : ( d5_165.8702_False_0 )
[4/11/2022 9:25:19 PM | 933 ms] : ( d6_1082.865_False_0 )
[4/11/2022 9:25:20 PM |  41 ms] : ( d1_11.89755_False_0 )
[4/11/2022 9:25:20 PM |  56 ms] : ( d2_32.03342_False_0 )
[4/11/2022 9:25:20 PM |  72 ms] : ( d3_19.1385_False_0 )
