[4/12/2022 9:14:13 PM |  33 ms] : ( d1_12.3776_False_0 )
[4/12/2022 9:14:13 PM |  71 ms] : ( d2_30.19784_False_0 )
[4/12/2022 9:14:13 PM |  84 ms] : ( d3_18.52664_False_0 )
[4/12/2022 9:14:13 PM | 100 ms] : ( d4_50.41708_False_0 )
[4/12/2022 9:14:13 PM | 116 ms] : ( d5_280.1025_False_0 )
[4/12/2022 9:14:13 PM | 131 ms] : ( d6_1129.659_False_0 )
[4/12/2022 9:14:13 PM | 243 ms] : ( d1_10.61103_False_0 )
[4/12/2022 9:14:13 PM | 258 ms] : ( d2_33.43723_False_0 )
[4/12/2022 9:14:13 PM | 273 ms] : ( d3_16.99431_False_0 )
[4/12/2022 9:14:13 PM | 288 ms] : ( d4_52.57667_False_0 )
[4/12/2022 9:14:13 PM | 303 ms] : ( d5_123.2943_False_0 )
[4/12/2022 9:14:13 PM | 318 ms] : ( d6_1476.426_False_0 )
[4/12/2022 9:14:13 PM | 425 ms] : ( d1_11.25891_False_0 )
[4/12/2022 9:14:13 PM | 456 ms] : ( d2_34.22231_False_0 )
[4/12/2022 9:14:13 PM | 487 ms] : ( d3_19.05003_False_0 )
[4/12/2022 9:14:13 PM | 517 ms] : ( d4_46.6881_False_0 )
[4/12/2022 9:14:13 PM | 533 ms] : ( d5_101.038_False_0 )
[4/12/2022 9:14:13 PM | 548 ms] : ( d6_1181.998_False_0 )
[4/12/2022 9:14:13 PM | 660 ms] : ( d1_12.00148_False_0 )
[4/12/2022 9:14:13 PM | 675 ms] : ( d2_25.38947_False_0 )
[4/12/2022 9:14:13 PM | 690 ms] : ( d3_19.31172_False_0 )
[4/12/2022 9:14:13 PM | 720 ms] : ( d4_47.21149_False_0 )
[4/12/2022 9:14:13 PM | 735 ms] : ( d5_111.5058_False_0 )
[4/12/2022 9:14:13 PM | 752 ms] : ( d6_1208.167_False_0 )
[4/12/2022 9:14:13 PM | 861 ms] : ( d1_11.08208_False_0 )
[4/12/2022 9:14:13 PM | 876 ms] : ( d2_35.79247_False_0 )
[4/12/2022 9:14:13 PM | 891 ms] : ( d3_15.39152_False_0 )
[4/12/2022 9:14:13 PM | 907 ms] : ( d4_54.14683_False_0 )
[4/12/2022 9:14:13 PM | 923 ms] : ( d5_154.6976_False_0 )
[4/12/2022 9:14:13 PM | 939 ms] : ( d6_1316.146_False_0 )
[4/12/2022 9:14:14 PM |  50 ms] : ( d1_12.80637_False_0 )
[4/12/2022 9:14:14 PM |  66 ms] : ( d2_36.57756_False_0 )
[4/12/2022 9:14:14 PM |  82 ms] : ( d3_15.65321_False_0 )
[4/12/2022 9:14:14 PM |  98 ms] : ( d4_54.67022_False_0 )
[4/12/2022 9:14:14 PM | 114 ms] : ( d5_165.1653_False_0 )
[4/12/2022 9:14:14 PM | 130 ms] : ( d6_1342.316_False_0 )
[4/12/2022 9:14:14 PM | 239 ms] : ( d1_11.88697_False_0 )
[4/12/2022 9:14:14 PM | 255 ms] : ( d2_39.81694_False_0 )
[4/12/2022 9:14:14 PM | 271 ms] : ( d3_19.12088_False_0 )
[4/12/2022 9:14:14 PM | 287 ms] : ( d4_46.82981_False_0 )
[4/12/2022 9:14:14 PM | 302 ms] : ( d5_208.3572_False_0 )
[4/12/2022 9:14:14 PM | 318 ms] : ( d6_1189.083_False_0 )
[4/12/2022 9:14:14 PM | 429 ms] : ( d1_12.53485_False_0 )
[4/12/2022 9:14:14 PM | 445 ms] : ( d2_35.21995_False_0 )
[4/12/2022 9:14:14 PM | 461 ms] : ( d3_15.20067_False_0 )
[4/12/2022 9:14:14 PM | 477 ms] : ( d4_53.76514_False_0 )
[4/12/2022 9:14:14 PM | 492 ms] : ( d5_147.0639_False_0 )
[4/12/2022 9:14:14 PM | 507 ms] : ( d6_1297.062_False_0 )
[4/12/2022 9:14:14 PM | 614 ms] : ( d1_11.61545_False_0 )
