[4/26/2022 9:00:00 PM |   6 ms] : ( d3_17.10658_False_0 )
[4/26/2022 9:00:00 PM |  20 ms] : ( d4_52.80122_False_0 )
[4/26/2022 9:00:00 PM |  37 ms] : ( d5_223.3003_False_0 )
[4/26/2022 9:00:00 PM |  52 ms] : ( d6_1487.653_False_0 )
[4/26/2022 9:00:00 PM | 164 ms] : ( d1_12.759_False_0 )
[4/26/2022 9:00:00 PM | 180 ms] : ( d2_29.17706_False_0 )
[4/26/2022 9:00:00 PM | 195 ms] : ( d3_15.57425_False_0 )
[4/26/2022 9:00:00 PM | 211 ms] : ( d4_49.73656_False_0 )
[4/26/2022 9:00:00 PM | 227 ms] : ( d5_266.4921_False_0 )
[4/26/2022 9:00:00 PM | 244 ms] : ( d6_1334.42_False_0 )
[4/26/2022 9:00:00 PM | 354 ms] : ( d1_10.40687_False_0 )
[4/26/2022 9:00:00 PM | 370 ms] : ( d2_39.58007_False_0 )
[4/26/2022 9:00:00 PM | 385 ms] : ( d3_16.65405_False_0 )
[4/26/2022 9:00:00 PM | 401 ms] : ( d4_51.89615_False_0 )
[4/26/2022 9:00:00 PM | 416 ms] : ( d5_205.1989_False_0 )
[4/26/2022 9:00:00 PM | 431 ms] : ( d6_1442.4_False_0 )
[4/26/2022 9:00:00 PM | 541 ms] : ( d1_12.48748_False_0 )
[4/26/2022 9:00:00 PM | 556 ms] : ( d2_27.81946_False_0 )
[4/26/2022 9:00:00 PM | 572 ms] : ( d3_15.12172_False_0 )
[4/26/2022 9:00:00 PM | 588 ms] : ( d4_48.83149_False_0 )
[4/26/2022 9:00:00 PM | 603 ms] : ( d5_248.3907_False_0 )
[4/26/2022 9:00:00 PM | 619 ms] : ( d6_1289.167_False_0 )
[4/26/2022 9:00:00 PM | 729 ms] : ( d1_10.13535_False_0 )
[4/26/2022 9:00:00 PM | 744 ms] : ( d2_38.22246_False_0 )
[4/26/2022 9:00:00 PM | 759 ms] : ( d3_16.20151_False_0 )
