[4/14/2022 2:18:12 PM | 156 ms] : ( d6_1058.618_False_0 )
[4/14/2022 2:18:12 PM | 267 ms] : ( d1_11.75206_False_0 )
[4/14/2022 2:18:12 PM | 282 ms] : ( d2_31.306_False_0 )
[4/14/2022 2:18:12 PM | 298 ms] : ( d3_18.89602_False_0 )
[4/14/2022 2:18:12 PM | 314 ms] : ( d4_46.3801_False_0 )
[4/14/2022 2:18:12 PM | 330 ms] : ( d5_294.8779_False_0 )
[4/14/2022 2:18:12 PM | 346 ms] : ( d6_1166.597_False_0 )
[4/14/2022 2:18:12 PM | 456 ms] : ( d1_10.83266_False_0 )
[4/14/2022 2:18:12 PM | 472 ms] : ( d2_34.54538_False_0 )
[4/14/2022 2:18:12 PM | 487 ms] : ( d3_17.36369_False_0 )
[4/14/2022 2:18:12 PM | 503 ms] : ( d4_53.31544_False_0 )
[4/14/2022 2:18:12 PM | 519 ms] : ( d5_138.0697_False_0 )
[4/14/2022 2:18:12 PM | 534 ms] : ( d6_1013.364_False_0 )
[4/14/2022 2:18:12 PM | 643 ms] : ( d1_11.48054_False_0 )
[4/14/2022 2:18:12 PM | 658 ms] : ( d2_29.94839_False_0 )
[4/14/2022 2:18:12 PM | 674 ms] : ( d3_18.44349_False_0 )
[4/14/2022 2:18:12 PM | 690 ms] : ( d4_45.47503_False_0 )
[4/14/2022 2:18:12 PM | 706 ms] : ( d5_276.7765_False_0 )
[4/14/2022 2:18:12 PM | 721 ms] : ( d6_1121.344_False_0 )
[4/14/2022 2:18:12 PM | 831 ms] : ( d1_10.56114_False_0 )
[4/14/2022 2:18:12 PM | 847 ms] : ( d2_33.18777_False_0 )
[4/14/2022 2:18:12 PM | 862 ms] : ( d3_16.91116_False_0 )
[4/14/2022 2:18:12 PM | 878 ms] : ( d4_52.41037_False_0 )
[4/14/2022 2:18:12 PM | 893 ms] : ( d5_119.9683_False_0 )
[4/14/2022 2:18:12 PM | 909 ms] : ( d6_1468.111_False_0 )
[4/14/2022 2:18:13 PM |  18 ms] : ( d1_11.20902_False_0 )
[4/14/2022 2:18:13 PM |  34 ms] : ( d2_28.59078_False_0 )
[4/14/2022 2:18:13 PM |  50 ms] : ( d3_17.99095_False_0 )
[4/14/2022 2:18:13 PM |  66 ms] : ( d4_54.56995_False_0 )
[4/14/2022 2:18:13 PM |  82 ms] : ( d5_258.675_False_0 )
[4/14/2022 2:18:13 PM |  98 ms] : ( d6_1076.09_False_0 )
[4/14/2022 2:18:13 PM | 208 ms] : ( d1_10.28962_False_0 )
[4/14/2022 2:18:13 PM | 223 ms] : ( d2_31.83017_False_0 )
[4/14/2022 2:18:13 PM | 239 ms] : ( d3_16.45862_False_0 )
[4/14/2022 2:18:13 PM | 255 ms] : ( d4_51.50529_False_0 )
[4/14/2022 2:18:13 PM | 271 ms] : ( d5_101.8669_False_0 )
[4/14/2022 2:18:13 PM | 287 ms] : ( d6_1422.857_False_0 )
[4/14/2022 2:18:13 PM | 397 ms] : ( d1_10.9375_False_0 )
[4/14/2022 2:18:13 PM | 413 ms] : ( d2_27.23318_False_0 )
[4/14/2022 2:18:13 PM | 429 ms] : ( d3_17.53842_False_0 )
[4/14/2022 2:18:13 PM | 445 ms] : ( d4_53.66488_False_0 )
[4/14/2022 2:18:13 PM | 460 ms] : ( d5_240.5736_False_0 )
[4/14/2022 2:18:13 PM | 476 ms] : ( d6_1030.837_False_0 )
[4/14/2022 2:18:13 PM | 585 ms] : ( d1_10.0181_False_0 )
[4/14/2022 2:18:13 PM | 601 ms] : ( d2_30.47256_False_0 )
[4/14/2022 2:18:13 PM | 617 ms] : ( d3_16.00608_False_0 )
[4/14/2022 2:18:13 PM | 633 ms] : ( d4_50.60022_False_0 )
[4/14/2022 2:18:13 PM | 649 ms] : ( d5_283.7654_False_0 )
[4/14/2022 2:18:13 PM | 664 ms] : ( d6_1377.603_False_0 )
[4/14/2022 2:18:13 PM | 773 ms] : ( d1_10.66597_False_0 )
[4/14/2022 2:18:13 PM | 788 ms] : ( d2_25.87557_False_0 )
[4/14/2022 2:18:13 PM | 804 ms] : ( d3_17.08588_False_0 )
[4/14/2022 2:18:13 PM | 820 ms] : ( d4_52.75981_False_0 )
[4/14/2022 2:18:13 PM | 851 ms] : ( d5_294.2332_False_0 )
[4/14/2022 2:18:13 PM | 867 ms] : ( d6_1403.773_False_0 )
