[4/17/2022 12:05:55 AM | 362 ms] : ( d4_49.18305_False_0 )
[4/17/2022 12:05:55 AM | 377 ms] : ( d5_150.9369_False_0 )
[4/17/2022 12:05:55 AM | 393 ms] : ( d6_1306.745_False_0 )
[4/17/2022 12:05:55 AM | 501 ms] : ( d1_11.67355_False_0 )
[4/17/2022 12:05:55 AM | 517 ms] : ( d2_38.74981_False_0 )
[4/17/2022 12:05:55 AM | 532 ms] : ( d3_16.37729_False_0 )
[4/17/2022 12:05:55 AM | 548 ms] : ( d4_46.11839_False_0 )
[4/17/2022 12:05:55 AM | 564 ms] : ( d5_194.1287_False_0 )
[4/17/2022 12:05:55 AM | 580 ms] : ( d6_1414.724_False_0 )
[4/17/2022 12:05:55 AM | 689 ms] : ( d1_12.32142_False_0 )
[4/17/2022 12:05:55 AM | 705 ms] : ( d2_26.98919_False_0 )
[4/17/2022 12:05:55 AM | 721 ms] : ( d3_19.84496_False_0 )
[4/17/2022 12:05:55 AM | 737 ms] : ( d4_48.27798_False_0 )
[4/17/2022 12:05:55 AM | 753 ms] : ( d5_132.8355_False_0 )
[4/17/2022 12:05:55 AM | 768 ms] : ( d6_1261.491_False_0 )
[4/17/2022 12:05:55 AM | 878 ms] : ( d1_11.40203_False_0 )
[4/17/2022 12:05:55 AM | 894 ms] : ( d2_37.3922_False_0 )
[4/17/2022 12:05:55 AM | 909 ms] : ( d3_15.92476_False_0 )
[4/17/2022 12:05:55 AM | 934 ms] : ( d4_45.21331_False_0 )
[4/17/2022 12:05:55 AM | 942 ms] : ( d5_176.0273_False_0 )
[4/17/2022 12:05:55 AM | 957 ms] : ( d6_1369.471_False_0 )
[4/17/2022 12:05:56 AM |  67 ms] : ( d1_12.0499_False_0 )
[4/17/2022 12:05:56 AM |  83 ms] : ( d2_25.63159_False_0 )
[4/17/2022 12:05:56 AM |  98 ms] : ( d3_19.39243_False_0 )
[4/17/2022 12:05:56 AM | 114 ms] : ( d4_47.37291_False_0 )
[4/17/2022 12:05:56 AM | 129 ms] : ( d5_114.7341_False_0 )
[4/17/2022 12:05:56 AM | 145 ms] : ( d6_1216.238_False_0 )
[4/17/2022 12:05:56 AM | 255 ms] : ( d1_11.1305_False_0 )
[4/17/2022 12:05:56 AM | 270 ms] : ( d2_36.0346_False_0 )
[4/17/2022 12:05:56 AM | 286 ms] : ( d3_15.47222_False_0 )
[4/17/2022 12:05:56 AM | 301 ms] : ( d4_54.30824_False_0 )
[4/17/2022 12:05:56 AM | 316 ms] : ( d5_157.9259_False_0 )
[4/17/2022 12:05:56 AM | 332 ms] : ( d6_1324.217_False_0 )
[4/17/2022 12:05:56 AM | 441 ms] : ( d1_11.77838_False_0 )
[4/17/2022 12:05:56 AM | 456 ms] : ( d2_39.27398_False_0 )
[4/17/2022 12:05:56 AM | 472 ms] : ( d3_18.93989_False_0 )
[4/17/2022 12:05:56 AM | 487 ms] : ( d4_46.46783_False_0 )
[4/17/2022 12:05:56 AM | 503 ms] : ( d5_296.6326_False_0 )
[4/17/2022 12:05:56 AM | 519 ms] : ( d6_1170.984_False_0 )
[4/17/2022 12:05:56 AM | 626 ms] : ( d1_10.85898_False_0 )
[4/17/2022 12:05:56 AM | 642 ms] : ( d2_34.67699_False_0 )
[4/17/2022 12:05:56 AM | 658 ms] : ( d3_15.01969_False_0 )
[4/17/2022 12:05:56 AM | 674 ms] : ( d4_53.40317_False_0 )
[4/17/2022 12:05:56 AM | 690 ms] : ( d5_139.8244_False_0 )
[4/17/2022 12:05:56 AM | 706 ms] : ( d6_1278.964_False_0 )
[4/17/2022 12:05:56 AM | 815 ms] : ( d1_11.50686_False_0 )
[4/17/2022 12:05:56 AM | 830 ms] : ( d2_37.91637_False_0 )
[4/17/2022 12:05:56 AM | 846 ms] : ( d3_18.48736_False_0 )
[4/17/2022 12:05:56 AM | 861 ms] : ( d4_45.56276_False_0 )
[4/17/2022 12:05:56 AM | 877 ms] : ( d5_278.5312_False_0 )
[4/17/2022 12:05:56 AM | 893 ms] : ( d6_1125.73_False_0 )
[4/17/2022 12:05:57 AM | 164 ms] : ( d1_10.64978_False_0 )
[4/17/2022 12:05:57 AM | 177 ms] : ( d2_25.79461_False_0 )
[4/17/2022 12:05:57 AM | 193 ms] : ( d3_17.0589_False_0 )
[4/17/2022 12:05:57 AM | 208 ms] : ( d4_52.70584_False_0 )
[4/17/2022 12:05:57 AM | 224 ms] : ( d5_221.3928_False_0 )
[4/17/2022 12:05:57 AM | 240 ms] : ( d6_1482.885_False_0 )
[4/17/2022 12:05:57 AM | 351 ms] : ( d1_12.73038_False_0 )
[4/17/2022 12:05:57 AM | 367 ms] : ( d2_29.034_False_0 )
[4/17/2022 12:05:57 AM | 383 ms] : ( d3_15.52657_False_0 )
[4/17/2022 12:05:57 AM | 399 ms] : ( d4_49.64118_False_0 )
[4/17/2022 12:05:57 AM | 415 ms] : ( d5_264.5846_False_0 )
[4/17/2022 12:05:57 AM | 430 ms] : ( d6_1329.651_False_0 )
