[5/20/2022 6:01:00 PM | 382 ms] : ( d1_11.2382_False_0 )
[5/20/2022 6:01:00 PM | 405 ms] : ( d2_34.11875_False_0 )
[5/20/2022 6:01:00 PM | 435 ms] : ( d3_17.22148_False_0 )
[5/20/2022 6:01:00 PM | 451 ms] : ( d4_53.03101_False_0 )
[5/20/2022 6:01:00 PM | 466 ms] : ( d5_132.3813_False_0 )
[5/20/2022 6:01:00 PM | 482 ms] : ( d6_1499.143_False_0 )
[5/20/2022 6:01:00 PM | 591 ms] : ( d1_11.39521_False_0 )
[5/20/2022 6:01:00 PM | 606 ms] : ( d2_29.52176_False_0 )
[5/20/2022 6:01:00 PM | 622 ms] : ( d3_18.30128_False_0 )
[5/20/2022 6:01:00 PM | 638 ms] : ( d4_45.19061_False_0 )
[5/20/2022 6:01:00 PM | 653 ms] : ( d5_271.088_False_0 )
[5/20/2022 6:01:00 PM | 669 ms] : ( d6_1107.123_False_0 )
[5/20/2022 6:01:00 PM | 776 ms] : ( d1_10.47581_False_0 )
[5/20/2022 6:01:00 PM | 791 ms] : ( d2_32.76114_False_0 )
[5/20/2022 6:01:00 PM | 806 ms] : ( d3_16.76895_False_0 )
[5/20/2022 6:01:00 PM | 822 ms] : ( d4_52.12594_False_0 )
[5/20/2022 6:01:00 PM | 837 ms] : ( d5_114.2798_False_0 )
[5/20/2022 6:01:00 PM | 853 ms] : ( d6_1453.889_False_0 )
[5/20/2022 6:01:00 PM | 961 ms] : ( d1_11.12369_False_0 )
[5/20/2022 6:01:00 PM | 976 ms] : ( d2_28.16415_False_0 )
[5/20/2022 6:01:00 PM | 991 ms] : ( d3_17.84874_False_0 )
[5/20/2022 6:01:01 PM |   7 ms] : ( d4_54.28553_False_0 )
[5/20/2022 6:01:01 PM |  23 ms] : ( d5_252.9866_False_0 )
[5/20/2022 6:01:01 PM |  39 ms] : ( d6_1061.869_False_0 )
[5/20/2022 6:01:01 PM | 205 ms] : ( d1_12.94268_False_0 )
[5/20/2022 6:01:01 PM | 405 ms] : ( d2_25.49846_False_0 )
[5/20/2022 6:01:01 PM | 435 ms] : ( d3_19.34805_False_0 )
[5/20/2022 6:01:01 PM | 451 ms] : ( d4_47.28416_False_0 )
[5/20/2022 6:01:01 PM | 466 ms] : ( d5_217.4441_False_0 )
[5/20/2022 6:01:01 PM | 482 ms] : ( d6_1211.8_False_0 )
[5/20/2022 6:01:01 PM | 591 ms] : ( d1_12.67115_False_0 )
[5/20/2022 6:01:01 PM | 607 ms] : ( d2_35.90147_False_0 )
[5/20/2022 6:01:01 PM | 623 ms] : ( d3_15.42785_False_0 )
[5/20/2022 6:01:01 PM | 639 ms] : ( d4_47.80754_False_0 )
[5/20/2022 6:01:01 PM | 655 ms] : ( d5_227.9119_False_0 )
[5/20/2022 6:01:01 PM | 670 ms] : ( d6_1237.969_False_0 )
[5/20/2022 6:01:01 PM | 781 ms] : ( d1_12.82817_False_0 )
[5/20/2022 6:01:01 PM | 797 ms] : ( d2_36.68655_False_0 )
[5/20/2022 6:01:01 PM | 812 ms] : ( d3_15.68954_False_0 )
[5/20/2022 6:01:01 PM | 827 ms] : ( d4_49.96713_False_0 )
[5/20/2022 6:01:01 PM | 843 ms] : ( d5_166.6186_False_0 )
[5/20/2022 6:01:01 PM | 858 ms] : ( d6_1345.949_False_0 )
[5/20/2022 6:01:01 PM | 969 ms] : ( d1_11.90877_False_0 )
[5/20/2022 6:01:01 PM | 985 ms] : ( d2_39.92594_False_0 )
[5/20/2022 6:01:02 PM |   1 ms] : ( d3_16.76934_False_0 )
[5/20/2022 6:01:02 PM |  17 ms] : ( d4_46.90247_False_0 )
[5/20/2022 6:01:02 PM |  33 ms] : ( d5_209.8104_False_0 )
[5/20/2022 6:01:02 PM |  49 ms] : ( d6_1192.716_False_0 )
[5/20/2022 6:01:02 PM | 159 ms] : ( d1_12.55665_False_0 )
[5/20/2022 6:01:02 PM | 173 ms] : ( d2_35.32894_False_0 )
[5/20/2022 6:01:02 PM | 188 ms] : ( d3_15.23701_False_0 )
[5/20/2022 6:01:02 PM | 203 ms] : ( d4_49.06206_False_0 )
[5/20/2022 6:01:02 PM | 219 ms] : ( d5_148.5172_False_0 )
[5/20/2022 6:01:02 PM | 234 ms] : ( d6_1300.695_False_0 )
[5/20/2022 6:01:02 PM | 343 ms] : ( d1_11.63725_False_0 )
[5/20/2022 6:01:02 PM | 359 ms] : ( d2_38.56833_False_0 )
[5/20/2022 6:01:02 PM | 374 ms] : ( d3_16.3168_False_0 )
[5/20/2022 6:01:02 PM | 390 ms] : ( d4_45.9974_False_0 )
[5/20/2022 6:01:02 PM | 405 ms] : ( d5_191.709_False_0 )
[5/20/2022 6:01:02 PM | 421 ms] : ( d6_1147.462_False_0 )
[5/20/2022 6:01:02 PM | 532 ms] : ( d1_12.28513_False_0 )
[5/20/2022 6:01:02 PM | 548 ms] : ( d2_33.97134_False_0 )
[5/20/2022 6:01:02 PM | 563 ms] : ( d3_19.78447_False_0 )
[5/20/2022 6:01:02 PM | 578 ms] : ( d4_48.15699_False_0 )
[5/20/2022 6:01:02 PM | 593 ms] : ( d5_130.4158_False_0 )
[5/20/2022 6:01:02 PM | 608 ms] : ( d6_1255.442_False_0 )
[5/20/2022 6:01:02 PM | 732 ms] : ( d1_11.36573_False_0 )
[5/20/2022 6:01:02 PM | 748 ms] : ( d2_37.21072_False_0 )
[5/20/2022 6:01:02 PM | 763 ms] : ( d3_15.86427_False_0 )
[5/20/2022 6:01:02 PM | 778 ms] : ( d4_45.09233_False_0 )
[5/20/2022 6:01:02 PM | 948 ms] : ( d5_273.2774_False_0 )
[5/20/2022 6:01:02 PM | 963 ms] : ( d6_1112.596_False_0 )
[5/20/2022 6:01:03 PM | 102 ms] : ( d1_11.09421_False_0 )
[5/20/2022 6:01:03 PM | 121 ms] : ( d2_35.85312_False_0 )
[5/20/2022 6:01:03 PM | 137 ms] : ( d3_15.41173_False_0 )
[5/20/2022 6:01:03 PM | 152 ms] : ( d4_54.18726_False_0 )
[5/20/2022 6:01:03 PM | 168 ms] : ( d5_155.5061_False_0 )
[5/20/2022 6:01:03 PM | 184 ms] : ( d6_1056.955_False_0 )
[5/20/2022 6:01:03 PM | 294 ms] : ( d1_11.74208_False_0 )
[5/20/2022 6:01:03 PM | 309 ms] : ( d2_31.25612_False_0 )
[5/20/2022 6:01:03 PM | 325 ms] : ( d3_18.8794_False_0 )
[5/20/2022 6:01:03 PM | 341 ms] : ( d4_46.34685_False_0 )
[5/20/2022 6:01:03 PM | 356 ms] : ( d5_294.2129_False_0 )
[5/20/2022 6:01:03 PM | 372 ms] : ( d6_1164.935_False_0 )
[5/20/2022 6:01:03 PM | 479 ms] : ( d1_10.82269_False_0 )
[5/20/2022 6:01:03 PM | 495 ms] : ( d2_34.49551_False_0 )
[5/20/2022 6:01:03 PM | 511 ms] : ( d3_19.95919_False_0 )
[5/20/2022 6:01:03 PM | 526 ms] : ( d4_53.28218_False_0 )
